OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.11841066678365071,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,61.5,30.75,205,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,155,5,13098
linear,0.1167893335223198,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,19.6,9.8,196,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,54,69,12526
linear,0.1041173314054807,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,16.8,8.4,168,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,60,55,10739
linear,0.4005973239739736,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,54.6,27.3,182,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,140,145,11643
linear,0.33818666140238446,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,58.8,29.4,196,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,176,105,12518
linear,0.37565867106119794,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,56.8,28.4,142,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,251,129,9025
linear,0.3027626673380534,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,19.9,9.95,199,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,48,217,12726
linear,0.05713066582878431,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,21.4,10.7,214,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,23,2,13657
linear,0.23520000278949738,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,34.0,17.0,170,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,67,135,10840
linear,0.4246933360894521,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,208.8,26.1,261,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,227,219,8351
